10000692,max,estimated,1950,1,0.128891096733111
10000692,max,estimated,1983,2,0.127578534837591
10000692,max,estimated,1983,3,0.0
10000692,max,estimated,1983,4,0.0
10000692,max,estimated,1983,5,0.0
10000692,max,estimated,1983,6,0.0
10000692,max,estimated,1983,7,0.0
10000692,max,estimated,1983,8,0.24119106605172
10000692,max,estimated,1983,9,0.0
10000692,max,estimated,1983,10,0.0
10000692,max,estimated,1983,11,0.13509650011235
10000692,max,estimated,1983,12,0.18106206875171
10000692,max,estimated,1984,1,0.162034266419864
10000692,max,estimated,1984,2,0.151803544774092
10000692,max,estimated,1984,3,0.0
10000692,max,estimated,1984,4,0.0
10000692,max,estimated,1984,5,0.0
10000692,max,estimated,1984,6,0.0
10000692,max,estimated,1984,7,0.0
10000692,max,estimated,1984,8,0.285462998548795
10000692,max,estimated,1984,9,0.0
10000692,max,estimated,1984,10,0.0
10000692,max,estimated,1984,11,0.154508522480342
10000692,max,estimated,1984,12,0.472324814788007
10000692,max,estimated,1985,1,0.190230781522942
10000692,max,estimated,1985,2,0.127897063608962
10000692,max,estimated,1985,3,0.0
10000692,max,estimated,1985,4,0.0
10000692,max,estimated,1985,5,0.0
10000692,max,estimated,1985,6,0.0
10000692,max,estimated,1985,7,0.0
10000692,max,estimated,1985,8,0.218826156054772
10000692,max,estimated,1985,9,0.0
10000692,max,estimated,1985,10,0.0
10000692,max,estimated,1985,11,0.163311412399119
10000692,max,estimated,1985,12,0.200528207966103
10000692,max,estimated,1986,1,0.169689577944722
10000692,max,estimated,1986,2,0.212855755535978
10000692,max,estimated,1986,3,0.0
10000692,max,estimated,1986,4,0.0
10000692,max,estimated,1986,5,0.0
10000692,max,estimated,1986,6,0.0
10000692,max,estimated,1986,7,0.0
10000692,max,estimated,1986,8,0.232110088486521
10000692,max,estimated,1986,9,0.0
10000692,max,estimated,1986,10,0.0
10000692,max,estimated,1986,11,0.157022147255606
10000692,max,estimated,1986,12,0.18653437469167
10000692,max,estimated,1987,1,0.217673015816568
10000692,max,estimated,1987,2,0.103633877655883
10000692,max,estimated,1987,3,0.0
10000692,max,estimated,1987,4,0.0
10000692,max,estimated,1987,5,0.0
10000692,max,estimated,1987,6,0.0
10000692,max,estimated,1987,7,0.101868665323442
10000692,max,estimated,1987,8,0.227436956677009
10000692,max,estimated,1987,9,0.0
10000692,max,estimated,1987,10,0.0
10000692,max,estimated,1987,11,0.140686613177942
10000692,max,estimated,1987,12,0.182772180030894
10000692,max,estimated,1988,1,0.164226291849162
10000692,max,estimated,1988,2,0.0
10000692,max,estimated,1988,3,0.0
10000692,max,estimated,1988,4,0.0
10000692,max,estimated,1988,5,0.0
10000692,max,estimated,1988,6,0.0
10000692,max,estimated,1988,7,0.0
10000692,max,estimated,1988,8,0.25626732763283
10000692,max,estimated,1988,9,0.0
10000692,max,estimated,1988,10,0.0
10000692,max,estimated,1988,11,0.193711471437161
10000692,max,estimated,1988,12,0.190713673408606
10000692,max,estimated,1989,1,0.214971414844997
10000692,max,estimated,1989,2,0.101932264695035
10000692,max,estimated,1989,3,0.0
10000692,max,estimated,1989,4,0.0
10000692,max,estimated,1989,5,0.0
10000692,max,estimated,1989,6,0.0
10000692,max,estimated,1989,7,0.0
10000692,max,estimated,1989,8,0.264679354433091
10000692,max,estimated,1989,9,0.0
10000692,max,estimated,1989,10,0.0
10000692,max,estimated,1989,11,0.187641716664169
10000692,max,estimated,1989,12,0.18184116583901
10000692,max,estimated,1990,1,0.215325056134856
10000692,max,estimated,1990,2,0.133623304857017
10000692,max,estimated,1990,3,0.0
10000692,max,estimated,1990,4,0.0
10000692,max,estimated,1990,5,0.0
10000692,max,estimated,1990,6,0.0
10000692,max,estimated,1990,7,0.0
10000692,max,estimated,1990,8,0.272549588509007
10000692,max,estimated,1990,9,0.0
10000692,max,estimated,1990,10,0.0
10000692,max,estimated,1990,11,0.13252035511152
10000692,max,estimated,1990,12,0.172414000609738
10000692,max,estimated,1991,1,0.217780623412844
10000692,max,estimated,1991,2,0.114177655628174
10000692,max,estimated,1991,3,0.0
10000692,max,estimated,1991,4,0.0
10000692,max,estimated,1991,5,0.0
10000692,max,estimated,1991,6,0.0
10000692,max,estimated,1991,7,0.0
10000692,max,estimated,1991,8,0.234516002271281
10000692,max,estimated,1991,9,0.0
10000692,max,estimated,1991,10,0.0
10000692,max,estimated,1991,11,0.127009880043321
10000692,max,estimated,1991,12,0.0
10000692,max,estimated,1992,1,0.135562057604598
10000692,max,estimated,1992,2,0.15075917011842
10000692,max,estimated,1992,3,0.0
10000692,max,estimated,1992,4,0.0
10000692,max,estimated,1992,5,0.0
10000692,max,estimated,1992,6,0.0
10000692,max,estimated,1992,7,0.0
10000692,max,estimated,1992,8,0.238841949321177
10000692,max,estimated,1992,9,0.0
10000692,max,estimated,1992,10,0.0
10000692,max,estimated,1992,11,0.137193005767303
10000692,max,estimated,1992,12,0.298180306132645
10000692,max,estimated,1993,1,0.233623394729459
10000692,max,estimated,1993,2,0.287225439744816
10000692,max,estimated,1993,3,0.121569887462585
10000692,max,estimated,1993,4,0.0
10000692,max,estimated,1993,5,0.0
10000692,max,estimated,1993,6,0.0
10000692,max,estimated,1993,7,0.0
10000692,max,estimated,1993,8,0.218843372022119
10000692,max,estimated,1993,9,0.0
10000692,max,estimated,1993,10,0.0
10000692,max,estimated,1993,11,0.172937826477092
10000692,max,estimated,1993,12,0.174098325684219
10000692,max,estimated,1994,1,0.198573865547229
10000692,max,estimated,1994,2,0.163387375051822
10000692,max,estimated,1994,3,0.0
10000692,max,estimated,1994,4,0.0
10000692,max,estimated,1994,5,0.0
10000692,max,estimated,1994,6,0.0
10000692,max,estimated,1994,7,0.0
10000692,max,estimated,1994,8,0.246019928868527
10000692,max,estimated,1994,9,0.0
10000692,max,estimated,1994,10,0.0
10000692,max,estimated,1994,11,0.131735063409833
10000692,max,estimated,1994,12,0.208053493022128
10000692,max,estimated,1995,1,0.201190282917944
10000692,max,estimated,1995,2,0.167100800292493
10000692,max,estimated,1995,3,0.0
10000692,max,estimated,1995,4,0.0
10000692,max,estimated,1995,5,0.0
10000692,max,estimated,1995,6,0.0
10000692,max,estimated,1995,7,0.0
10000692,max,estimated,1995,8,0.224799723482361
10000692,max,estimated,1995,9,0.0
10000692,max,estimated,1995,10,0.0
10000692,max,estimated,1995,11,0.165502565701431
10000692,max,estimated,1995,12,0.181617857912006
10000692,max,estimated,1996,1,0.216128983556584
10000692,max,estimated,1996,2,0.239416427082061
10000692,max,estimated,1996,3,0.0
10000692,max,estimated,1996,4,0.0
10000692,max,estimated,1996,5,0.0
10000692,max,estimated,1996,6,0.0
10000692,max,estimated,1996,7,0.0
10000692,max,estimated,1996,8,0.227111265343851
10000692,max,estimated,1996,9,0.0
10000692,max,estimated,1996,10,0.0
10000692,max,estimated,1996,11,0.166162916238557
10000692,max,estimated,1996,12,0.182864257775181
10000692,max,estimated,1997,1,0.214617797568861
10000692,max,estimated,1997,2,0.137952972578745
10000692,max,estimated,1997,3,0.0
10000692,max,estimated,1997,4,0.0
10000692,max,estimated,1997,5,0.0
10000692,max,estimated,1997,6,0.0
10000692,max,estimated,1997,7,0.0
10000692,max,estimated,1997,8,0.234957832308728
10000692,max,estimated,1997,9,0.127325234494754
10000692,max,estimated,1997,10,0.0
10000692,max,estimated,1997,11,0.156849528666572
10000692,max,estimated,1997,12,0.199213007599887
10000692,max,estimated,1998,1,0.177376596418069
10000692,max,estimated,1998,2,0.204322790306128
10000692,max,estimated,1998,3,0.0
10000692,max,estimated,1998,4,0.0
10000692,max,estimated,1998,5,0.0
10000692,max,estimated,1998,6,0.0
10000692,max,estimated,1998,7,0.0
10000692,max,estimated,1998,8,0.233207348828043
10000692,max,estimated,1998,9,0.0
10000692,max,estimated,1998,10,0.0
10000692,max,estimated,1998,11,0.133165570540783
10000692,max,estimated,1998,12,0.171350569671077
10000692,max,estimated,1999,1,0.182611043428398
10000692,max,estimated,1999,2,0.15683916425649
10000692,max,estimated,1999,3,0.0
10000692,max,estimated,1999,4,0.0
10000692,max,estimated,1999,5,0.0
10000692,max,estimated,1999,6,0.0
10000692,max,estimated,1999,7,0.0
10000692,max,estimated,1999,8,0.239963498501032
10000692,max,estimated,1999,9,0.0
10000692,max,estimated,1999,10,0.0
10000692,max,estimated,1999,11,0.21102145521799
10000692,max,estimated,1999,12,0.181704248655319
10000692,max,estimated,2000,1,0.254887516210286
10000692,max,estimated,2000,2,0.354822796458195
10000692,max,estimated,2000,3,0.0
10000692,max,estimated,2000,4,0.0
10000692,max,estimated,2000,5,0.0
10000692,max,estimated,2000,6,0.0
10000692,max,estimated,2000,7,0.12135830105857
10000692,max,estimated,2000,8,0.216826092078529
10000692,max,estimated,2000,9,0.114951402409141
10000692,max,estimated,2000,10,0.113778522371588
10000692,max,estimated,2000,11,0.161597170387878
10000692,max,estimated,2000,12,0.189853270337761
10000692,max,estimated,2001,1,0.225668659285971
10000692,max,estimated,2001,2,0.113621942497384
10000692,max,estimated,2001,3,0.0
10000692,max,estimated,2001,4,0.0
10000692,max,estimated,2001,5,0.0
10000692,max,estimated,2001,6,0.0
10000692,max,estimated,2001,7,0.0
10000692,max,estimated,2001,8,0.252863842575477
10000692,max,estimated,2001,9,0.0
10000692,max,estimated,2001,10,0.0
10000692,max,estimated,2001,11,0.152623089795248
10000692,max,estimated,2001,12,0.177586186558865
10000692,max,estimated,2002,1,0.215430526087689
10000692,max,estimated,2002,2,0.192058983303962
10000692,max,estimated,2002,3,0.0
10000692,max,estimated,2002,4,0.0
10000692,max,estimated,2002,5,0.0
10000692,max,estimated,2002,6,0.0
10000692,max,estimated,2002,7,0.0
10000692,max,estimated,2002,8,0.237248364794196
10000692,max,estimated,2002,9,0.131450451824425
10000692,max,estimated,2002,10,0.0
10000692,max,estimated,2002,11,0.142035402058193
10000692,max,estimated,2002,12,0.177758019413835
10000692,max,estimated,2003,1,0.198713880621913
10000692,max,estimated,2003,2,0.316693751134172
10000692,max,estimated,2003,3,0.0
10000692,max,estimated,2003,4,0.0
10000692,max,estimated,2003,5,0.0
10000692,max,estimated,2003,6,0.0
10000692,max,estimated,2003,7,0.0
10000692,max,estimated,2003,8,0.2573437526964
10000692,max,estimated,2003,9,0.0
10000692,max,estimated,2003,10,0.0
10000692,max,estimated,2003,11,0.163443551410966
10000692,max,estimated,2003,12,0.18723029657724
10000692,max,estimated,2004,1,0.207408074353118
10000692,max,estimated,2004,2,0.143725700142529
10000692,max,estimated,2004,3,0.0
10000692,max,estimated,2004,4,0.0
10000692,max,estimated,2004,5,0.0
10000692,max,estimated,2004,6,0.0
10000692,max,estimated,2004,7,0.0
10000692,max,estimated,2004,8,0.221314673268547
10000692,max,estimated,2004,9,0.0
10000692,max,estimated,2004,10,0.0
10000692,max,estimated,2004,11,0.130310241634152
10000692,max,estimated,2004,12,0.179449186605584
10000692,max,estimated,2005,1,0.26753185442295
10000692,max,estimated,2005,2,0.805721619744739
10000692,max,estimated,2005,3,0.134568871347682
10000692,max,estimated,2005,4,0.0
10000692,max,estimated,2005,5,0.0
10000692,max,estimated,2005,6,0.0
10000692,max,estimated,2005,7,0.0
10000692,max,estimated,2005,8,0.229071650058218
10000692,max,estimated,2005,9,0.0
10000692,max,estimated,2005,10,0.0
10000692,max,estimated,2005,11,0.149098851666462
10000692,max,estimated,2005,12,0.180504255946724
10000692,max,estimated,2006,1,0.205378679025465
10000692,max,estimated,2006,2,0.302558611266424
10000692,max,estimated,2006,3,0.0
10000692,max,estimated,2006,4,0.0
10000692,max,estimated,2006,5,0.0
10000692,max,estimated,2006,6,0.0
10000692,max,estimated,2006,7,0.124767548057658
10000692,max,estimated,2006,8,0.273589988161202
10000692,max,estimated,2006,9,0.133632872630648
10000692,max,estimated,2006,10,0.0
10000692,max,estimated,2006,11,0.136079771306286
10000692,max,estimated,2006,12,0.0
10000692,max,estimated,2007,1,0.158621934653864
10000692,max,estimated,2007,2,0.15329394019536
10000692,max,estimated,2007,3,0.0
10000692,max,estimated,2007,4,0.0
10000692,max,estimated,2007,5,0.0
10000692,max,estimated,2007,6,0.0
10000692,max,estimated,2007,7,0.0
10000692,max,estimated,2007,8,0.223576772465304
10000692,max,estimated,2007,9,0.0
10000692,max,estimated,2007,10,0.0
10000692,max,estimated,2007,11,0.145444644011289
10000692,max,estimated,2007,12,0.180939449445408
10000692,max,estimated,2008,1,0.167652730621755
10000692,max,estimated,2008,2,0.0
10000692,max,estimated,2008,3,0.0
10000692,max,estimated,2008,4,0.0
10000692,max,estimated,2008,5,0.0
10000692,max,estimated,2008,6,0.0
10000692,max,estimated,2008,7,0.0
10000692,max,estimated,2008,8,0.235763230581076
10000692,max,estimated,2008,9,0.0
10000692,max,estimated,2008,10,0.0
10000692,max,estimated,2008,11,0.155742668654466
10000692,max,estimated,2008,12,0.172200400819829
10000692,max,estimated,2009,1,0.171512068047802
10000692,max,estimated,2009,2,0.176280051370667
10000692,max,estimated,2009,3,0.0
10000692,max,estimated,2009,4,0.0
10000692,max,estimated,2009,5,0.0
10000692,max,estimated,2009,6,0.0
10000692,max,estimated,2009,7,0.0
10000692,max,estimated,2009,8,0.206803399894102
10000692,max,estimated,2009,9,0.0
10000692,max,estimated,2009,10,0.0
10000692,max,estimated,2009,11,0.161325410990729
10000692,max,estimated,2009,12,0.195520928896753
10000692,max,estimated,2010,1,0.227861624603779
10000692,max,estimated,2010,2,0.197223635325571
10000692,max,estimated,2010,3,0.0
10000692,max,estimated,2010,4,0.0
10000692,max,estimated,2010,5,0.0
10000692,max,estimated,2010,6,0.0
10000692,max,estimated,2010,7,0.0
10000692,max,estimated,2010,8,0.214399570642063
10000692,max,estimated,2010,9,0.0
10000692,max,estimated,2010,10,0.0
10000692,max,estimated,2010,11,0.154174385379689
10000692,max,estimated,2010,12,0.10443493494901
10000692,max,estimated,2011,1,0.106166090467513
10000692,max,estimated,2011,2,0.150008328904177
10000692,max,estimated,2011,3,0.0
10000692,max,estimated,2011,4,0.0
10000692,max,estimated,2011,5,0.0
10000692,max,estimated,2011,6,0.0
10000692,max,estimated,2011,7,0.0
10000692,max,estimated,2011,8,0.238746875465031
10000692,max,estimated,2011,9,0.122077828819824
10000692,max,estimated,2011,10,0.0
10000692,max,estimated,2011,11,0.133668728936707
10000692,max,estimated,2011,12,0.185422570457982
10000692,max,estimated,2012,1,0.172666955542083
10000692,max,estimated,2012,2,0.159207320133733
10000692,max,estimated,2012,3,0.0
10000692,max,estimated,2012,4,0.0
10000692,max,estimated,2012,5,0.0
10000692,max,estimated,2012,6,0.0
10000692,max,estimated,2012,7,0.124517639912988
10000692,max,estimated,2012,8,0.252438006758108
10000692,max,estimated,2012,9,0.0
10000692,max,estimated,2012,10,0.0
10000692,max,estimated,2012,11,0.153748725092239
10000692,max,estimated,2012,12,0.187247781110658
10000692,max,estimated,2013,1,0.196559343677532
10000692,max,estimated,2013,2,0.109603799999996
10000692,max,estimated,2013,3,0.0
10000692,max,estimated,2013,4,0.0
10000692,max,estimated,2013,5,0.0
10000692,max,estimated,2013,6,0.0
10000692,max,estimated,2013,7,0.0
10000692,max,estimated,2013,8,0.262107452858717
10000692,max,estimated,2013,9,0.0
10000692,max,estimated,2013,10,0.0
10000692,max,estimated,2013,11,0.160959652934141
10000692,max,estimated,2013,12,0.181894992769802
10000692,max,estimated,2014,1,0.197742371871167
10000692,max,estimated,2014,2,0.221871151558085
10000692,max,estimated,2014,3,0.0
10000692,max,estimated,2014,4,0.0
10000692,max,estimated,2014,5,0.0
10000692,max,estimated,2014,6,0.0
10000692,max,estimated,2014,7,0.109418199125607
10000692,max,estimated,2014,8,0.28423005805909
10000692,max,estimated,2014,9,0.141479448653923
10000692,max,estimated,2014,10,0.0
10000692,max,estimated,2014,11,0.15947144260779
10000692,max,estimated,2014,12,0.199734767242964
10000692,max,estimated,2015,1,0.205301480450529
10000692,max,estimated,2015,2,0.161292843235934
10000692,max,estimated,2015,3,0.101085387425831
10000692,max,estimated,2015,4,0.0
10000692,max,estimated,2015,5,0.0
10000692,max,estimated,2015,6,0.0
10000692,max,estimated,2015,7,0.0
10000692,max,estimated,2015,8,0.22470882447516
10000692,max,estimated,2015,9,0.0
10000692,max,estimated,2015,10,0.0
10000692,max,estimated,2015,11,0.159893725673934
10000692,max,estimated,2015,12,0.185668553743539
